state,zipcode,hash_codes,closed_won_percentage
WA,32256,0061K00000lRmJS,0.0
NJ,98405,0061K00000lRLbH,0.0
OH,2215,0061K00000lRKfD,0.0
WA,78229,0061K00000lRjSu,0.0
OR,10456,0061K00000lRJ2c,0.0
CA,72202,0061K00000lRICd,0.0
MI,80021,0061K00000lRIBo,0.0
OH,7450,"0061K00000lRFy8, 0061K00000jVksz",0.0
KS,98274,0061K00000lReig,0.0
TN,8822,0061K00000lRDxS,0.0
GA,43202,0061K00000lRcxO,0.0
TN,98683,0061K00000lRcwu,100.0
MO,94143,0061K00000lR9dm,0.0
PA,48912,0061K00000lR4ZU,0.0
NY,45429,"0061K00000lR0rh, 0061K00000lRyiO",0.0
CA,66160,0061K00000lR0jz,0.0
GA,38104,"0061K00000lQy8P, 0061K00000huJjk",0.0
PA,30066,0061K00000lQnMr,0.0
CA,37067,0061K00000lQkOe,0.0
PA,91786,"0061K00000lQjqv, 0061K00000lRXzn",0.0
CA,65802,0061K00000lQJFA,0.0
FL,19087,0061K00000lQHhA,0.0
AR,14203,0061K00000lQHgz,0.0
MO,94598,0061K00000lQHgf,0.0
TN,30117,0061K00000lQGrs,0.0
MI,19406,"0061K00000lQGr1, 0061K00000lRRcz",0.0
AZ,92868,"0061K00000lQGqh, 0061K00000lRnT0",0.0
FL,19104,"0061K00000lQGpZ, 0061K00000lRmJS, 0061K00000h7Ijg",0.0
TX,94602,0061K00000lQGpt,0.0
MS,33901,0061K00000lQGpA,0.0
KY,72601,0061K00000lQfz0,0.0
NY,64506,0061K00000lQEXP,0.0
HI,38105,0061K00000lQEWv,0.0
SC,48202,0061K00000lQeMa,0.0
TN,85712,0061K00000lQEgL,0.0
TN,33309,0061K00000lQE9R,0.0
FL,76011,0061K00000lQ8eP,0.0
CT,38801,"0061K00000l5Gwu, 0061K00000lR0rh",0.0
NY,40223,0061K00000kZCTo,0.0
VT,14642,0061K00000kZ3Fq,0.0
MS,96813,0061K00000kXZoD,0.0
NY,29303,0061K00000kwvSE,0.0
AK,37232,0061K00000ksMo0,0.0
MO,37920,0061K00000ksMnz,0.0
TX,34239,0061K00000ksLmF,0.0
TX,6106,"0061K00000ksL3T, 0061K00000lQfz0",0.0
AZ,12208,0061K00000ksGKu,0.0
PA,5701,"0061K00000ks6KG, 0061K00000lQ8eP",0.0
IL,39216,"0061K00000ks4PF, 0061K00000kZCTo",0.0
ID,10017,"0061K00000ks2qa, 0061K00000kwvSE",0.0
UT,99669,0061K00000ks1yM,0.0
OH,65301,0061K00000ks1xJ,0.0
CA,79601,0061K00000krZvn,0.0
CO,75203,0061K00000krTI9,0.0
AL,85008,0061K00000krr1m,0.0
CA,17822,"0061K00000krO84, 0061K00000ksL3T",0.0
IN,62781,0061K00000kreSu,0.0
CO,83712,"0061K00000krcQr, 0061K00000ksLv2",0.0
NY,84111,"0061K00000kqP3K, 0061K00000ksLmF",0.0
MA,45237,"0061K00000kqIEW, 0061K00000ksL3T",0.0
MT,91405,0061K00000kqck4,0.0
TX,81505,0061K00000kqaAJ,0.0
PA,36607,0061K00000kq99K,0.0
FL,90027,"0061K00000kpQ0R, 0061K00000krTI9",0.0
NJ,11201,0061K00000kpO05,0.0
FL,2740,0061K00000kpNvo,0.0
DE,59715,0061K00000kpEqk,0.0
KY,75235,0061K00000kP16b,0.0
TX,33487,0061K00000kouCK,0.0
KY,32806,0061K00000kou4n,0.0
PA,7103,0061K00000k3y63,0.0
AL,33136,0061K00000k3Pzt,0.0
MN,19901,"0061K00000k3kdI, 0061K00000krcQr",0.0
GA,40536,0061K00000k35D2,100.0
NY,93906,0061K00000k2UcZ,0.0
FL,78411,"0061K00000k2oTq, 0061K00000kqIEW",0.0
TN,40202,0061K00000k1XAe,0.0
AL,17403,0061K00000k1EDy,0.0
FL,35242,0061K00000k1ctr,0.0
SC,55805,0061K00000k1CB5,0.0
CA,30329,0061K00000k0tDa,0.0
NH,10017,0061K00000k0BLF,0.0
MS,33606,0061K00000jzzCA,0.0
FL,38104,0061K00000jWa9Q,0.0
WA,35801,0061K00000jW4aS,0.0
AZ,32610,0061K00000jVZNI,0.0
NC,29169,0061K00000jVwnv,0.0
OH,92324,0061K00000jVwgu,0.0
MO,3598,"0061K00000jVAqt, 0061K00000k35D2",0.0
GA,39216,0061K00000jV9BO,0.0
SC,33759,0061K00000jV3Ou,0.0
MD,98405,0061K00000jUvmD,0.0
IA,85016,0061K00000jUjM6,0.0
GA,27710,0061K00000jUhha,0.0
NJ,44195,0061K00000jTF5J,0.0
WA,63141,0061K00000jTEIe,0.0
OH,30720,0061K00000iqIVh,0.0
NE,51537,0061K00000hy6PF,0.0
IL,30720,0061K00000hxpAG,0.0
TN,8053,"0061K00000hxAip, 0061K00000kqP3K, 0061K00000kouCK",0.0
OH,98004,"0061K00000hwYz2, 0061K00000k0tDa",0.0
FL,43402,"0061K00000hwfrI, 0061K00000k0BLF",0.0
CO,54956,"0061K00000hvMZ1, 0061K00000jWa9Q",0.0
SC,97467,0061K00000huuIx,0.0
GA,68198,0061K00000huJjk,0.0
TN,61801,0061K00000h9QBQ,0.0
